,,,,,,,,,,,,,
２ 身長の年齢別分布（2-1）,,,,,,,,,,,,,
1 男,,,,,,,,,,,,,単位 （‰）
区　　分,幼稚園,小　　　　　　　学　　　　　　　校,,,,,,中　　　　学　　　　校,,,高　　等　　学　　校,,
,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳
181,-,-,-,-,-,-,-,0.0 ,0.6 ,2.5 ,5.5 ,11.4 ,14.6 
182,-,-,-,-,-,-,-,0.0 ,0.2 ,1.9 ,4.2 ,7.9 ,11.4 
183,-,-,-,-,-,-,-,-,0.1 ,1.3 ,3.3 ,5.5 ,6.6 
184,-,-,-,-,-,-,-,-,0.1 ,0.9 ,1.6 ,3.3 ,4.2 
185,-,-,-,-,-,-,-,-,0.0 ,1.0 ,1.5 ,2.2 ,3.9 
186,-,-,-,-,-,-,-,-,0.0 ,0.4 ,0.6 ,2.0 ,1.9 
187,-,-,-,-,-,-,-,-,0.0 ,0.1 ,0.7 ,1.3 ,1.4 
188,-,-,-,-,-,-,-,-,0.0 ,0.2 ,0.5 ,0.7 ,0.7 
189,-,-,-,-,-,-,-,-,0.0 ,0.0 ,0.2 ,0.6 ,1.1 
190,-,-,-,-,-,-,-,-,-,0.0 ,-,0.2 ,0.4 
191,-,-,-,-,-,-,-,-,-,-,-,0.2 ,0.1 
192,-,-,-,-,-,-,-,-,-,-,-,0.1 ,0.0 
193,-,-,-,-,-,-,-,-,-,0.1 ,-,0.1 ,0.2 
194,-,-,-,-,-,-,-,-,-,-,0.0 ,-,0.1 
195,-,-,-,-,-,-,-,-,-,-,-,-,0.0 
196,-,-,-,-,-,-,-,-,-,-,0.0 ,-,-
197,-,-,-,-,-,-,-,-,-,-,-,-,-
198,-,-,-,-,-,-,-,-,-,-,-,-,-
199,-,-,-,-,-,-,-,-,-,-,-,-,-
  200～,-,-,-,-,-,-,-,-,-,-,0.0 ,-,-
,,,,,,,,,,,,,
（注）　小数点以下第２位を四捨五入したため，計と内訳が一致しない場合がある。以下の各表において同じ。,,,,,,,,,,,,,
